"","Gene symbol","Gene names","up_regulate","down_regulate","n_literature","up_down","percentage"
"1","A1BG-AS1","A1BG antisense RNA 1",1,0,1,"up",1
"2","A2M","alpha-2-macroglobulin",3,1,4,"up",0.75
"3","A4GALT","alpha 1,4-galactosyltransferase",2,0,2,"up",1
"4","AAAS","achalasia, adrenocortical insufficiency, alacrimia",1,2,3,"down",0.666666666666667
"5","AACS","acetoacetyl-CoA synthetase",1,1,2,"down",0.5
"6","AACSP1","acetoacetyl-CoA synthetase pseudogene 1",1,0,1,"up",1
"7","AADAC","arylacetamide deacetylase",1,2,3,"down",0.666666666666667
"8","AADAT","aminoadipate aminotransferase",0,2,2,"down",1
"9","AAGAB","alpha- and gamma-adaptin binding protein",0,2,2,"down",1
"10","AAK1","AP2 associated kinase 1",1,0,1,"up",1
"11","AAMDC","adipogenesis associated Mth938 domain containing",1,2,3,"down",0.666666666666667
"12","AAR2","AAR2 splicing factor homolog",1,0,1,"up",1
"13","AARD","alanine and arginine rich domain containing protein",1,0,1,"up",1
"14","AARS2","alanyl-tRNA synthetase 2, mitochondrial",1,2,3,"down",0.666666666666667
"15","AARSD1","alanyl-tRNA synthetase domain containing 1",0,1,1,"down",1
"16","AASDH","aminoadipate-semialdehyde dehydrogenase",0,1,1,"down",1
"17","AASS","aminoadipate-semialdehyde synthase",0,1,1,"down",1
"18","AATF","apoptosis antagonizing transcription factor",1,1,2,"down",0.5
"19","AATK","apoptosis-associated tyrosine kinase",1,0,1,"up",1
"20","ABAT","4-aminobutyrate aminotransferase",2,1,3,"up",0.666666666666667
"21","ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1",4,1,5,"up",0.8
"22","ABCA10","ATP binding cassette subfamily A member 10",1,1,2,"down",0.5
"23","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene",1,0,1,"up",1
"24","ABCA12","ATP-binding cassette, sub-family A (ABC1), member 12",3,0,3,"up",1
"25","ABCA13","ATP-binding cassette, sub-family A (ABC1), member 13",2,0,2,"up",1
"26","ABCA2","ATP-binding cassette, sub-family A (ABC1), member 2",2,0,2,"up",1
"27","ABCA3","ATP-binding cassette, sub-family A (ABC1), member 3",4,0,4,"up",1
"28","ABCA5","ATP-binding cassette, sub-family A (ABC1), member 5",2,0,2,"up",1
"29","ABCA6","ATP-binding cassette, sub-family A (ABC1), member 6",1,1,2,"down",0.5
"30","ABCA7","ATP-binding cassette, sub-family A (ABC1), member 7",2,0,2,"up",1
"31","ABCA8","ATP binding cassette subfamily A member 8",3,0,3,"up",1
"32","ABCB1","ATP binding cassette subfamily B member 1",2,0,2,"up",1
"33","ABCB10","ATP-binding cassette, sub-family B (MDR/TAP), member 10",1,1,2,"down",0.5
"34","ABCB4","ATP-binding cassette, sub-family B (MDR/TAP), member 4",2,0,2,"up",1
"35","ABCB6","ATP-binding cassette, sub-family B (MDR/TAP), member 6",1,1,2,"down",0.5
"36","ABCB7","ATP-binding cassette, sub-family B (MDR/TAP), member 7",1,1,2,"down",0.5
"37","ABCC1","ATP-binding cassette, sub-family C (CFTR/MRP), member 1",2,0,2,"up",1
"38","ABCC10","ATP-binding cassette, sub-family C (CFTR/MRP), member 10",1,0,1,"up",1
